names,oldest_date
COPPERM,2011-12-23
COTTON,2011-10-04
CRUDEOILM,2015-01-06
GOLDPTLDEL,2011-11-23
KAPAS,2005-01-29
KAPASKHALI,2012-09-27
NICKELM,2011-12-29
POTATO,2009-06-01
RUBBER,2009-06-01
